Date,High,Low,Open,Close,Volume,Adj Close
2014-09-16,0.005802989937365055,0.0051225097849965096,0.0051225097849965096,0.005398519802838564,1281960,0.005398519802838564
2014-09-17,0.0055210101418197155,0.005091030150651932,0.005398150067776442,0.005135450046509504,491147,0.005135450046509504
2014-09-18,0.005167440045624971,0.004873139783740044,0.005133859813213348,0.004942249972373247,407109,0.004942249972373247
2014-09-19,0.004953879863023758,0.004735889844596386,0.004941789899021387,0.0047716498374938965,322621,0.0047716498374938965
2014-09-20,0.004791260231286287,0.0045399898663163185,0.004768270067870617,0.0045698899775743484,309571,0.0045698899775743484
2014-09-21,0.004670289810746908,0.00453248992562294,0.004561109934002161,0.004657280165702105,267342,0.004657280165702105
2014-09-22,0.004656069912016392,0.004547220189124346,0.004655200056731701,0.004613180179148912,323106,0.004613180179148912
2014-09-23,0.004667609930038452,0.0045114499516785145,0.004609739873558283,0.004667609930038452,349329,0.004667609930038452
2014-09-24,0.004850329831242561,0.004641910083591938,0.004669960122555494,0.004722279962152243,745348,0.004722279962152243
2014-09-25,0.004734079819172621,0.004557889886200428,0.004721830133348703,0.0046155801974236965,497323,0.0046155801974236965
2014-09-26,0.00471690995618701,0.004575380124151707,0.004607469774782658,0.004705039784312248,221573,0.004705039784312248
2014-09-27,0.005345160141587257,0.004650140181183815,0.004705760162323713,0.005281960126012564,464102,0.005281960126012564
2014-09-28,0.005442049819976091,0.0046583497896790504,0.005279480013996363,0.004704540129750967,122073,0.004704540129750967
2014-09-29,0.00470738997682929,0.004634810145944357,0.00470522977411747,0.0046439701691269875,109352,0.0046439701691269875
2014-09-30,0.0047723399475216866,0.004644319880753756,0.004644980188459158,0.004752390086650848,64998,0.004752390086650848
2014-10-01,0.004876260180026293,0.004753469955176115,0.004755159839987755,0.004874090198427439,209158,0.004874090198427439
2014-10-02,0.005049659870564938,0.0048752701841294765,0.004876019898802042,0.005022820085287094,264083,0.005022820085287094
2014-10-03,0.005204480141401291,0.00493094976991415,0.0050238799303770065,0.004941490013152361,168516,0.004941490013152361
2014-10-04,0.005011990200728178,0.004746090155094862,0.004934560041874647,0.004788659978657961,181316,0.004788659978657961
